Playback Hour,Operating System,Browser,Delivery Type,City,Country,ISP,State,Content Quality Entitled,Entitlement Type,Video Type,Audio Language,Title
12/14/2016 19:00:00,Android6.0.1,,streaming,milano,it,BBBell_PPPoE_Customers,,SD,PRIME_SUBSCRIPTION,Feature,,The Holy Trinity-The Grand Tour - Season 1
12/14/2016 19:00:00,Android6.0.1,,streaming,milano,it,BBBell_PPPoE_Customers,,SD,PRIME_SUBSCRIPTION,Feature,,The Holy Trinity-The Grand Tour - Season 1
12/14/2016 22:00:00,Windows 10,Chrome 54.0.2840.99,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,,The Holy Trinity-The Grand Tour - Season 1
12/14/2016 23:00:00,Windows 10,Chrome 54.0.2840.99,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,,Operation Desert Stumble-The Grand Tour - Season 1
12/15/2016 11:00:00,Windows 10,Chrome 55.0.2883.87,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,,Opera, Art and Donuts-The Grand Tour - Season 1
12/15/2016 12:00:00,Windows 10,Chrome 55.0.2883.87,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,,Enviro-mental-The Grand Tour - Season 1
12/20/2016 10:00:00,Windows 10,Chrome 55.0.2883.87,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,,Morroccan Roll-The Grand Tour - Season 1
12/30/2016 20:00:00,Windows 10,Chrome 55.0.2883.87,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,,Happy Finnish Christmas-The Grand Tour - Season 1
12/30/2016 21:00:00,Windows 10,Chrome 55.0.2883.87,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,,The Beach (Buggy) Boys – Namibia Special Part 1-The Grand Tour - Season 1
01/09/2017 16:00:00,Windows 10,Chrome 55.0.2883.87,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,,The Beach (Buggy) Boys - Part 2-The Grand Tour - Season 1
01/09/2017 17:00:00,Windows 10,Chrome 55.0.2883.87,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,,Berks To The Future-The Grand Tour - Season 1
01/22/2017 20:00:00,Windows 10,Chrome 55.0.2883.87,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,,Dumb Fight at the O.K. Coral-The Grand Tour - Season 1
01/22/2017 21:00:00,Windows 10,Chrome 55.0.2883.87,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,,Italian Lessons-The Grand Tour - Season 1
01/28/2017 17:00:00,Windows 10,Chrome 55.0.2883.87,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,,[censored] to [censored]-The Grand Tour - Season 1
02/01/2017 17:00:00,Windows 10,Chrome 55.0.2883.87,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,,[censored] to [censored]-The Grand Tour - Season 1
02/12/2017 15:00:00,Windows 10,Chrome 56.0.2924.87,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,,Past v Future-The Grand Tour - Season 1
02/15/2017 23:00:00,Windows 10,Chrome 56.0.2924.87,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,,The New World-Man In The High Castle - Season 1
02/16/2017 16:00:00,Windows 10,Chrome 56.0.2924.87,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,,Sunrise-Man In The High Castle - Season 1
02/16/2017 17:00:00,Windows 10,Chrome 56.0.2924.87,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,,The Illustrated Woman-Man In The High Castle - Season 1
02/17/2017 09:00:00,Android6.0.1,,streaming,milano,it,BBBell_PPPoE_Customers,,SD,PRIME_SUBSCRIPTION,Feature,,The Road Less Traveled-The Man in the High Castle - Season 2
02/17/2017 09:00:00,Android6.0.1,,streaming,milano,it,BBBell_PPPoE_Customers,,SD,PRIME_SUBSCRIPTION,Feature,,The Tiger's Cave-The Man in the High Castle - Season 2
02/24/2017 09:00:00,Android6.0.1,,streaming,turin,it,Uni-Torino-LAN1,,SD,PRIME_SUBSCRIPTION,Feature,it-it,Monty Python's Meaning Of Life
05/09/2017 14:00:00,Windows 10,Chrome 57.0.2987.133,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,en,Hitch
05/09/2017 14:00:00,Windows 10,Chrome 57.0.2987.133,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,it,Repilot-Community - Season 5
05/09/2017 14:00:00,Windows 10,Chrome 57.0.2987.133,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,it,Introduction To Teaching-Community - Season 5
05/09/2017 15:00:00,Windows 10,Chrome 57.0.2987.133,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,it,Basic Intergluteal Numismatics-Community - Season 5
05/09/2017 15:00:00,Windows 10,Chrome 57.0.2987.133,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,it,Cooperative Polygraphy-Community - Season 5
05/09/2017 15:00:00,Windows 10,Chrome 57.0.2987.133,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,it,Geothermal Escapism-Community - Season 5
05/09/2017 16:00:00,Windows 10,Chrome 57.0.2987.133,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,it,Analysis Of Cork-Based Networking-Community - Season 5
05/09/2017 16:00:00,Windows 10,Chrome 57.0.2987.133,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,it,Bondage And Beta Male Sexuality-Community - Season 5
05/10/2017 12:00:00,Windows 10,Chrome 57.0.2987.133,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,it-it,Monty Python's Meaning Of Life
05/16/2017 14:00:00,Windows 10,Chrome 58.0.3029.110,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,en-us,Pilot-I Love Dick
05/16/2017 14:00:00,Windows 10,Chrome 58.0.3029.110,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,it,Pilot-Community - Season 1
05/16/2017 15:00:00,Windows 10,Chrome 58.0.3029.110,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,it,Spanish 101-Community - Season 1
05/16/2017 15:00:00,Windows 10,Chrome 58.0.3029.110,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,it,Introduction To Film-Community - Season 1
