Profile Name,Title Description,Device,Playback Start Utc Ts,Country,Playtraces
Bea,Part 5 Volume 2 Trailer: Money Heist,Netflix Chrome Linux (Cadmium) HTML 5,2021-12-10 16:04:03,IT,[]
Bea,Season 1 Trailer: Squid Game,Chrome PC (Cadmium),2021-12-01 00:17:58,IT,"[{""eventType"":""start"",""sessionOffsetMs"":8606,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":10119,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":26363,""mediaOffsetMs"":16016},{""eventType"":""playing"",""sessionOffsetMs"":30362,""mediaOffsetMs"":20020},{""eventType"":""stopped"",""sessionOffsetMs"":69119,""mediaOffsetMs"":58777}]"
Bea,"Tear Along the Dotted Line: Season 1: ""Episode 6""",Chrome PC (Cadmium),2021-11-30 23:58:07,IT,"[{""eventType"":""start"",""sessionOffsetMs"":539922,""mediaOffsetMs"":5021},{""eventType"":""playing"",""sessionOffsetMs"":539997,""mediaOffsetMs"":5021},{""eventType"":""paused"",""sessionOffsetMs"":550392,""mediaOffsetMs"":15000},{""eventType"":""reposition"",""sessionOffsetMs"":550393,""mediaOffsetMs"":68221},{""eventType"":""playing"",""sessionOffsetMs"":550421,""mediaOffsetMs"":68200},{""eventType"":""playing"",""sessionOffsetMs"":550476,""mediaOffsetMs"":68221},{""eventType"":""paused"",""sessionOffsetMs"":1022342,""mediaOffsetMs"":539893},{""eventType"":""playing"",""sessionOffsetMs"":1083872,""mediaOffsetMs"":540012},{""eventType"":""stopped"",""sessionOffsetMs"":1731504,""mediaOffsetMs"":1186671}]"
Bea,"Tear Along the Dotted Line: Season 1: ""Episode 5""",Chrome PC (Cadmium),2021-11-30 23:32:37,IT,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":2065,""mediaOffsetMs"":1},{""eventType"":""paused"",""sessionOffsetMs"":15716,""mediaOffsetMs"":13000},{""eventType"":""reposition"",""sessionOffsetMs"":15717,""mediaOffsetMs"":68461},{""eventType"":""playing"",""sessionOffsetMs"":15824,""mediaOffsetMs"":68461},{""eventType"":""paused"",""sessionOffsetMs"":1073145,""mediaOffsetMs"":1125606},{""eventType"":""playing"",""sessionOffsetMs"":1073331,""mediaOffsetMs"":1125680},{""eventType"":""paused"",""sessionOffsetMs"":1074219,""mediaOffsetMs"":1126427},{""eventType"":""playing"",""sessionOffsetMs"":1434293,""mediaOffsetMs"":1126562},{""eventType"":""stopped"",""sessionOffsetMs"":1532716,""mediaOffsetMs"":1223926}]"
Bea,"Tear Along the Dotted Line: Season 1: ""Episode 1""",Chrome PC (Cadmium),2021-11-30 23:32:23,IT,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":1156,""mediaOffsetMs"":1},{""eventType"":""paused"",""sessionOffsetMs"":12083,""mediaOffsetMs"":10785},{""eventType"":""stopped"",""sessionOffsetMs"":12098,""mediaOffsetMs"":10885}]"
Bea,Season 1 Plot Clip: Tear Along the Dotted Line,Chrome PC (Cadmium),2021-11-30 23:32:19,IT,"[{""eventType"":""start"",""sessionOffsetMs"":5,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":398,""mediaOffsetMs"":1},{""eventType"":""stopped"",""sessionOffsetMs"":2736,""mediaOffsetMs"":2200}]"
Bea,Season 1 Plot Clip: Tear Along the Dotted Line,Chrome PC (Cadmium),2021-11-30 23:32:16,IT,"[{""eventType"":""start"",""sessionOffsetMs"":555,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":1753,""mediaOffsetMs"":1},{""eventType"":""paused"",""sessionOffsetMs"":5506,""mediaOffsetMs"":3436},{""eventType"":""stopped"",""sessionOffsetMs"":8224,""mediaOffsetMs"":3693}]"
Bea,Season 1 Plot Clip: Tear Along the Dotted Line,Chrome PC (Cadmium),2021-11-30 23:32:16,IT,"[{""eventType"":""start"",""sessionOffsetMs"":22,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":960,""mediaOffsetMs"":1},{""eventType"":""paused"",""sessionOffsetMs"":1410,""mediaOffsetMs"":265},{""eventType"":""stopped"",""sessionOffsetMs"":1659,""mediaOffsetMs"":269}]"
Ricky,"Tear Along the Dotted Line: Season 1: ""Episode 3""",Safari MAC (Cadmium),2021-12-06 18:14:46,IT,"[{""eventType"":""start"",""sessionOffsetMs"":4939568,""mediaOffsetMs"":5001},{""eventType"":""playing"",""sessionOffsetMs"":4939834,""mediaOffsetMs"":5001},{""eventType"":""paused"",""sessionOffsetMs"":4952071,""mediaOffsetMs"":17000},{""eventType"":""reposition"",""sessionOffsetMs"":4952072,""mediaOffsetMs"":68081},{""eventType"":""playing"",""sessionOffsetMs"":4952227,""mediaOffsetMs"":66000},{""eventType"":""playing"",""sessionOffsetMs"":4952611,""mediaOffsetMs"":68081},{""eventType"":""paused"",""sessionOffsetMs"":5116288,""mediaOffsetMs"":231201},{""eventType"":""playing"",""sessionOffsetMs"":5116662,""mediaOffsetMs"":231415},{""eventType"":""paused"",""sessionOffsetMs"":5117734,""mediaOffsetMs"":232312},{""eventType"":""playing"",""sessionOffsetMs"":5508919,""mediaOffsetMs"":232385},{""eventType"":""paused"",""sessionOffsetMs"":5532427,""mediaOffsetMs"":255520},{""eventType"":""stopped"",""sessionOffsetMs"":8676369,""mediaOffsetMs"":255707}]"
Ricky,"Tear Along the Dotted Line: Season 1: ""Episode 2""",Safari MAC (Cadmium),2021-12-06 16:37:00,IT,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":1075,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":25512,""mediaOffsetMs"":24000},{""eventType"":""playing"",""sessionOffsetMs"":37631,""mediaOffsetMs"":36000},{""eventType"":""playing"",""sessionOffsetMs"":49657,""mediaOffsetMs"":48000},{""eventType"":""paused"",""sessionOffsetMs"":488438,""mediaOffsetMs"":486924},{""eventType"":""playing"",""sessionOffsetMs"":647890,""mediaOffsetMs"":486991},{""eventType"":""paused"",""sessionOffsetMs"":1100314,""mediaOffsetMs"":939087}]"
