"listId","itemAddedDate","itemType","deleted","catalogTitle"
"WATCHLIST","01/23/2021 22:08","AIV:item","0","L'Attacco dei Giganti - Parte 3: L'urlo del risveglio"
"WATCHLIST","01/23/2021 22:33","AIV:item","0","L'Attacco dei Giganti - The Final Season"
"WATCHLIST","01/25/2021 14:12","AIV:item","1","Man In The High Castle - Season 1"
"WATCHLIST","01/25/2021 14:12","AIV:item","1","Cowboy Bebop"
"WATCHLIST","01/25/2021 14:13","AIV:item","1","Attack on Titan"
"WATCHLIST","08/13/2021 02:08","AIV:Watchlist","1","BENVENUTI A SARAJEVO"
"WATCHLIST","08/13/2021 02:08","AIV:Watchlist","0","BENVENUTI A SARAJEVO"
"WATCHLIST","08/13/2021 02:08","AIV:Watchlist","1","BENVENUTI A SARAJEVO"
"WATCHLIST","08/13/2021 02:08","AIV:Watchlist","0","BENVENUTI A SARAJEVO"
"WATCHLIST","08/15/2019 22:07","AIV:Watchlist","1","Man In The High Castle - Season 1"
"WATCHLIST","08/15/2019 22:07","AIV:Watchlist","0","Man In The High Castle - Season 1"
