"DeviceType","StartDate","EndDate","EventDuration","StartPosition","EndPosition","Title","Asin","BookLength","DeliveryType","NarrationSpeed","Bookmark","AudioType","AsinOwned","ListeningMode","Store","AppVersion","LocalTimezone"
"Audible for Windows Phone 7 (1002)","22-JAN-2018","22-JAN-2018","38000","481","37579","Harry Potter e il Calice di Fuoco (Harry Potter 4)","B078JM28LZ","75303104","Streaming","1.00","0",,"false","Online","Audible","10.5.2.0","Europe/Berlin"
"Audible for Windows Phone 7 (1002)","22-JAN-2018","22-JAN-2018","43000","14652","58220","Harry Potter e il Calice di Fuoco (Harry Potter 4)","B078JM28LZ","75303104","Streaming","1.00","0",,"false","Online","Audible","10.5.2.0","Europe/Berlin"
"Audible for Android","22-JAN-2018","22-JAN-2018","195000","0","195089","Harry Potter e il Calice di Fuoco (Harry Potter 4)","B078JM28LZ","75303102","Download","1.00","0",,"true",,"Audible","2.20.0","Europe/Rome"
"Audible for Android","22-JAN-2018","23-JAN-2018","11277000","195089","11438795","Harry Potter e il Calice di Fuoco (Harry Potter 4)","B078JM28LZ","75303102","Download","1.00","0",,"true",,"Audible","2.20.0","Europe/Rome"
"Audible for Android","23-JAN-2018","23-JAN-2018","32000","9422889","9454836","Harry Potter e il Calice di Fuoco (Harry Potter 4)","B078JM28LZ","75303102","Download","1.00","0",,"true",,"Audible","2.20.0","Europe/Rome"
"Audible for Android","23-JAN-2018","23-JAN-2018","5203000","2650836","7853495","Harry Potter e il Calice di Fuoco (Harry Potter 4)","B078JM28LZ","75303102","Download","1.00","0",,"true",,"Audible","2.20.0","Europe/Rome"
"Audible for Android","23-JAN-2018","23-JAN-2018","1942000","7853866","9796401","Harry Potter e il Calice di Fuoco (Harry Potter 4)","B078JM28LZ","75303102","Download","1.00","0",,"true",,"Audible","2.20.0","Europe/Rome"
"Audible for Android","23-JAN-2018","23-JAN-2018","3783000","9796401","13579071","Harry Potter e il Calice di Fuoco (Harry Potter 4)","B078JM28LZ","75303102","Download","1.00","0",,"true",,"Audible","2.20.0","Europe/Rome"
"Audible for Android","23-JAN-2018","23-JAN-2018","1038000","13579122","14617607","Harry Potter e il Calice di Fuoco (Harry Potter 4)","B078JM28LZ","75303102","Download","1.00","0",,"true",,"Audible","2.20.0","Europe/Rome"
"Audible for Android","23-JAN-2018","23-JAN-2018","1270000","14617611","15887646","Harry Potter e il Calice di Fuoco (Harry Potter 4)","B078JM28LZ","75303102","Download","1.00","0",,"true",,"Audible","2.20.0","Europe/Rome"
"Audible for Android","23-JAN-2018","23-JAN-2018","1258000","15887603","17146260","Harry Potter e il Calice di Fuoco (Harry Potter 4)","B078JM28LZ","75303102","Download","1.00","0",,"true",,"Audible","2.20.0","Europe/Rome"
"Audible for Android","23-JAN-2018","23-JAN-2018","791000","17146260","17936992","Harry Potter e il Calice di Fuoco (Harry Potter 4)","B078JM28LZ","75303102","Download","1.00","0",,"true",,"Audible","2.20.0","Europe/Rome"
