Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms),Running duration (ms),Calisthenics duration (ms)
2018-03-19,,612.6155792987323,718.9182929396629,,,,,,,0.6734103220119153,1.1393792629241943,0.1279774010181427,1101,,,,24412439,1525985,,
2018-03-20,,910.7177797043347,682.982027888298,,,,,,,1.0321959326215806,1.1758077144622803,0.4954149127006531,1409,,,,40880488,1060954,,
2019-10-17,,495.22807530395505,,,,,,,,,,,93,,,,23938877,127192,,
2019-10-18,2,1737.938212017441,57.30721640586853,,,,,,,1.0014275312423706,1.0014275312423706,1.0014275312423706,453,,,,84727323,257690,,
2019-10-19,,1744.1601277164375,,,,,,,,,,,198,,,,85735801,73047,,
2019-10-20,9,1760.1853279546526,209.96242833137512,,,,,,,0.5476138944314908,0.7295888662338257,0.4270482063293457,855,,,,84289731,661561,,
2019-10-21,1,1740.0943270515613,,,,,,,,,,,237,,,,85812871,,,
2019-10-22,,1751.9913810547764,,,,,,,,,,,379,,,,85762605,167623,,
2019-10-23,1,1758.7545134221714,8.159398078918457,,,,,,,0.2988123297691345,0.2988123297691345,0.2988123297691345,451,,,,86217128,135781,,
2019-10-24,2,1739.3539695282045,,,,,,,,,,,515,,,,85088287,181072,,
2019-10-25,2,1749.3344794641791,,,,,,,,,,,431,,,,85842883,112018,,
2019-10-26,21,1804.0622134552045,680.0107893943787,,,,,,,0.5551664775709796,1.12020742893219,0.2719903588294983,1966,,,,78536824,1504756,,
2019-10-27,20,1860.3720885352823,213.33706092834473,,,,,,,0.360996199559133,1.1196175813674927,0.2592114508152008,2072,,,,76852410,691518,,
2019-10-28,15,1821.3822347737016,498.8281389474869,,,,,,,0.3667258392901851,1.0845385789871216,0.2866346836090088,1476,75.0,75.0,75.0,84149556,960311,,
2019-10-29,17,1753.2084458301924,727.6436519622803,,,,,,,0.5838612305417944,1.2568774223327637,0.24649447202682495,1588,,,,83564254,1178353,,
2019-10-30,29,1814.076254676218,1667.792925477028,3.0,3,,,,,0.4040467553399606,1.7994954586029053,0.2574377655982971,2965,,,,74590275,2273529,,
2019-10-31,27,1826.062563762207,2560.4904747009277,23.0,17,,,,,0.49283161309819956,3.5236711502075195,0.2574377655982971,3297,,,,83572590,1389336,337783,
2019-11-01,,1678.2499714608214,29.50295639038086,,,,,,,0.2574377655982971,0.2574377655982971,0.2574377655982971,277,,,,85009284,,,
2019-11-02,1,1692.7992895743434,65.29558157920837,,,,,,,0.6300465306857692,0.9438318610191345,0.2726481258869171,325,,,,84411457,243535,,
2019-11-03,,1688.3026267925602,20.360986709594727,,,,,,,0.3273652344942093,0.3855910003185272,0.26913946866989136,246,,,,85504033,168268,,
2019-11-04,,1678.2498176507843,117.25120401382446,,,,,,,0.3418916283422995,0.4467236399650574,0.26913946866989136,604,,,,84620765,,,
2019-11-05,,1678.2498390128494,22.88923966884613,,,,,,,0.26913946866989136,0.26913946866989136,0.26913946866989136,229,,,,85604605,,,
2019-11-06,24,1829.973311813524,2608.0828580856323,30.0,21,,,,,0.4137422182126385,3.265991687774658,0.2574377655982971,3245,,,,83514121,910249,544400,
2019-11-07,1,1680.1283664772543,38.61566734313965,,,,,,,0.4968925267457962,0.7012421488761902,0.2925429046154022,286,,,,84779577,31443,,
2019-11-08,,1691.7459216071873,63.89137554168701,,,,,,,0.6017883504810893,0.9146339893341064,0.3464546203613281,390,,,,85346573,225903,,
2019-11-09,,1691.7852214584732,114.19310855865479,,,,,,,0.27043150441012076,0.33934974670410156,0.24776510894298553,549,,,,84873656,226559,,
2019-11-10,19,1776.3169694491767,1155.0709428787231,1.0,1,,,,,0.4518835675437485,1.4897328615188599,0.26913946866989136,2323,,,,78236780,1641497,,
2019-11-11,57,1876.877520311098,2804.9553537368774,10.0,10,,,,,0.46185805767598304,1.3975926637649536,0.2500452995300293,4297,,,,81252771,3324731,,
2019-11-12,20,1714.1097681891865,784.9511723518372,,,,,,,0.391386252930352,0.9061866402626038,0.2574377655982971,1520,,,,83651833,600239,,
